age,age_group,gender,occupation,current_balance,balance_diff,customer_tenure_years,is_active,churn,churn_label,activity_status,risk_segment
68,65+,Female,self_employed,4091.66,151.2199999999998,6.19,1,0,Retained,Active,Low Risk
45,36-45,Male,salaried,12039.77,473.2399999999998,5.72,1,0,Retained,Active,Low Risk
45,36-45,Female,self_employed,6036.9,1264.8899999999994,5.25,1,0,Retained,Active,Low Risk
13,<=25,Male,student,6926.41,2238.7200000000003,5.85,1,0,Retained,Active,Low Risk
67,65+,Male,self_employed,1578.21,-3175.33,3.89,1,0,Retained,Active,Medium Risk
76,65+,Female,self_employed,1050.3,-1321.55,5.9,1,0,Retained,Active,Medium Risk
60,56-65,Male,self_employed,5065.29,-428.02999999999975,6.42,1,0,Retained,Active,Medium Risk
79,65+,Female,self_employed,15942.78,-676.9699999999993,6.52,1,0,Retained,Active,Medium Risk
21,<=25,Male,student,7151.46,0.0,4.29,1,0,Retained,Active,Low Risk
57,56-65,Male,self_employed,27970.63,999.7200000000012,6.16,1,0,Retained,Active,Low Risk
27,26-35,Male,self_employed,431.67,-4541.94,5.56,1,1,Churned,Active,Medium Risk
71,65+,Male,retired,4330.29,150.48999999999978,5.97,1,0,Retained,Active,Low Risk
47,46-55,Male,self_employed,11902.1,-14634.72,5.62,1,0,Retained,Active,Medium Risk
61,56-65,Male,salaried,2662.21,86.88000000000011,5.81,1,0,Retained,Active,Low Risk
70,65+,Male,salaried,54686.7,36914.899999999994,6.0,1,0,Retained,Active,Low Risk
26,26-35,Female,self_employed,2585.29,571.4300000000001,5.92,1,0,Retained,Active,Low Risk
41,36-45,Male,self_employed,6209.34,5819.76,4.22,1,0,Retained,Active,Low Risk
32,26-35,Male,salaried,39462.27,640.8699999999953,6.08,1,0,Retained,Active,Low Risk
55,46-55,Male,salaried,4587.28,1966.5499999999995,4.9,1,0,Retained,Active,Low Risk
58,56-65,Male,salaried,2335.05,97.24000000000024,5.87,1,0,Retained,Active,Low Risk
40,36-45,Female,self_employed,9931.34,-230.42000000000007,3.76,1,0,Retained,Active,Medium Risk
65,56-65,Male,self_employed,3379.75,-5441.780000000001,6.11,1,0,Retained,Active,Medium Risk
63,56-65,Female,self_employed,11636.85,614.380000000001,6.15,1,0,Retained,Active,Low Risk
26,26-35,Male,self_employed,483.52,-77.12,4.03,1,1,Churned,Active,Medium Risk
58,56-65,Male,self_employed,10088.96,2040.8599999999988,6.49,1,0,Retained,Active,Low Risk
33,26-35,Male,self_employed,3537.16,731.19,4.36,1,0,Retained,Active,Low Risk
53,46-55,Male,salaried,12913.08,1156.08,6.53,1,0,Retained,Active,Low Risk
19,<=25,Female,self_employed,3144.56,-1.4200000000000728,6.12,1,0,Retained,Active,Medium Risk
35,26-35,Male,salaried,2870.63,693.4100000000003,5.63,0,0,Retained,Inactive,Medium Risk
41,36-45,Male,self_employed,3185.72,0.0,6.56,1,0,Retained,Active,Low Risk
36,36-45,Male,self_employed,6785.6,-389.3099999999995,6.07,1,0,Retained,Active,Medium Risk
30,26-35,Male,salaried,3122.27,-26.429999999999836,4.27,1,0,Retained,Active,Medium Risk
29,26-35,Female,salaried,9013.52,1251.5400000000009,6.64,1,0,Retained,Active,Low Risk
74,65+,Male,retired,2227.37,-125.34000000000016,4.64,1,0,Retained,Active,Medium Risk
67,65+,Female,salaried,20741.22,207.3100000000013,5.12,1,0,Retained,Active,Low Risk
26,26-35,Male,self_employed,1454.24,-180.1400000000001,5.42,1,1,Churned,Active,Medium Risk
32,26-35,Female,self_employed,2429.18,-1565.75,5.91,1,1,Churned,Active,Medium Risk
71,65+,Male,retired,2460.94,0.0,5.4,0,0,Retained,Inactive,Medium Risk
56,56-65,Female,self_employed,22437.57,9038.84,6.31,1,0,Retained,Active,Low Risk
43,36-45,Male,self_employed,10152.97,8581.189999999999,5.74,1,0,Retained,Active,Low Risk
90,65+,Female,self_employed,8215.16,-28.579999999999927,4.28,0,0,Retained,Inactive,High Risk
48,46-55,Male,self_employed,2617.87,-556.0900000000001,6.1,1,0,Retained,Active,Medium Risk
72,65+,Female,self_employed,503.68,-5401.74,5.71,1,1,Churned,Active,Medium Risk
75,65+,Male,self_employed,1555.37,-5760.41,6.61,1,1,Churned,Active,Medium Risk
70,65+,Male,self_employed,8191.35,7417.400000000001,6.38,1,0,Retained,Active,Low Risk
43,36-45,Male,self_employed,2859.86,1009.2,6.52,1,0,Retained,Active,Low Risk
39,36-45,Female,self_employed,8125.81,0.0,4.96,1,0,Retained,Active,Low Risk
34,26-35,Male,self_employed,2597.77,0.0,5.94,1,0,Retained,Active,Low Risk
49,46-55,Female,self_employed,1694.84,-511.18000000000006,5.13,1,1,Churned,Active,Medium Risk
38,36-45,Male,self_employed,1792.97,-241.8699999999999,5.33,1,1,Churned,Active,Medium Risk
43,36-45,Female,salaried,2488.77,-756.96,4.83,1,0,Retained,Active,Medium Risk
36,36-45,Male,self_employed,9572.43,-4534.26,4.22,1,0,Retained,Active,Medium Risk
62,56-65,Female,self_employed,16969.05,-3213.0300000000025,6.0,1,0,Retained,Active,Medium Risk
54,46-55,Male,salaried,909.84,-1529.1299999999997,6.07,1,0,Retained,Active,Medium Risk
39,36-45,Male,self_employed,10864.4,-401.6800000000003,5.22,1,0,Retained,Active,Medium Risk
10,<=25,Female,student,107.99,-1935.48,6.12,1,1,Churned,Active,Medium Risk
67,65+,Male,self_employed,1515.7,0.0,3.98,0,0,Retained,Inactive,Medium Risk
48,46-55,Male,salaried,1905.79,257.29999999999995,5.88,1,0,Retained,Active,Low Risk
56,56-65,Male,self_employed,70.97,-3061.2000000000003,6.66,1,1,Churned,Active,Medium Risk
65,56-65,Male,retired,5945.69,-4742.36,5.28,1,0,Retained,Active,Medium Risk
40,36-45,Male,student,1100.97,-981.8100000000002,3.56,1,1,Churned,Active,Medium Risk
66,65+,Male,retired,20452.17,-35242.590000000004,5.42,1,1,Churned,Active,Medium Risk
37,36-45,Female,self_employed,3097.47,83.0,5.98,1,1,Churned,Active,Low Risk
58,56-65,Female,self_employed,2123.8,1266.69,6.53,1,0,Retained,Active,Low Risk
68,65+,Male,retired,2101.47,419.9999999999998,5.32,0,0,Retained,Inactive,Medium Risk
34,26-35,Female,self_employed,5899.01,-27.649999999999636,5.1,1,0,Retained,Active,Medium Risk
71,65+,Male,retired,844.46,-157.92999999999995,6.26,1,1,Churned,Active,Medium Risk
46,46-55,Male,salaried,2409.49,-1251.4500000000005,3.53,1,0,Retained,Active,Medium Risk
43,36-45,Male,self_employed,5182.72,93.01000000000022,6.08,1,0,Retained,Active,Low Risk
66,65+,Male,self_employed,6685.16,-5741.380000000001,6.69,1,0,Retained,Active,Medium Risk
52,46-55,Male,self_employed,9474.09,3557.6000000000004,5.57,1,0,Retained,Active,Low Risk
43,36-45,Male,salaried,1460.15,-256.6099999999999,4.84,1,0,Retained,Active,Medium Risk
31,26-35,Female,self_employed,7020.3,0.0,4.68,0,0,Retained,Inactive,Medium Risk
3,<=25,Female,student,1863.74,0.0,6.43,0,0,Retained,Inactive,Medium Risk
45,36-45,Male,self_employed,2189.03,625.0100000000002,6.45,1,0,Retained,Active,Low Risk
41,36-45,Female,self_employed,6212.04,102.64999999999964,6.07,1,0,Retained,Active,Low Risk
35,26-35,Female,self_employed,1072.56,-1336.4,5.97,1,0,Retained,Active,Medium Risk
41,36-45,Male,self_employed,5026.63,1260.61,4.98,1,0,Retained,Active,Low Risk
39,36-45,Male,self_employed,1570.66,-1684.7299999999998,5.38,1,0,Retained,Active,Medium Risk
49,46-55,Female,self_employed,5796.61,-3465.7699999999995,5.33,1,0,Retained,Active,Medium Risk
30,26-35,Male,self_employed,1642.73,3.849999999999909,4.54,1,0,Retained,Active,Low Risk
30,26-35,Female,self_employed,2348.97,-700.5300000000002,4.65,1,0,Retained,Active,Medium Risk
25,<=25,Male,self_employed,314.23,-299.46000000000004,5.65,1,1,Churned,Active,Medium Risk
42,36-45,Female,self_employed,279.79,28.05000000000001,6.13,1,1,Churned,Active,Low Risk
45,36-45,Male,self_employed,2357.64,1830.5499999999995,6.5,1,0,Retained,Active,Low Risk
74,65+,Male,retired,16917.74,0.0,5.43,0,0,Retained,Inactive,Medium Risk
28,26-35,Male,self_employed,4689.26,81.36999999999989,4.75,1,0,Retained,Active,Low Risk
28,26-35,Male,self_employed,3725.73,1880.96,6.51,1,0,Retained,Active,Low Risk
34,26-35,Male,self_employed,7634.87,-343.0,5.99,1,0,Retained,Active,Medium Risk
49,46-55,Female,self_employed,3158.08,-1078.8999999999996,5.82,1,1,Churned,Active,Medium Risk
40,36-45,Female,salaried,2404.56,-2300.4600000000005,4.85,1,0,Retained,Active,Medium Risk
32,26-35,Male,salaried,2059.04,-53.73000000000002,6.31,1,0,Retained,Active,Medium Risk
39,36-45,Male,salaried,5718.2,-811.5299999999997,6.07,1,0,Retained,Active,Medium Risk
44,36-45,Male,self_employed,6888.19,0.0,6.53,1,0,Retained,Active,Low Risk
52,46-55,Female,salaried,8836.28,5680.900000000001,6.18,1,0,Retained,Active,Low Risk
36,36-45,Female,self_employed,1471.2,-515.51,5.47,1,0,Retained,Active,Medium Risk
51,46-55,Female,salaried,3712.09,0.0,6.5,0,0,Retained,Inactive,Medium Risk
83,65+,Female,retired,0.51,0.0,6.35,1,1,Churned,Active,Low Risk
23,<=25,Female,student,10657.76,0.0,5.76,1,0,Retained,Active,Low Risk
52,46-55,Male,salaried,3278.11,-251.02999999999977,4.08,1,0,Retained,Active,Medium Risk
49,46-55,Female,self_employed,4003.75,700.0,6.61,1,0,Retained,Active,Low Risk
29,26-35,Female,self_employed,23847.85,-119.28000000000247,5.69,1,0,Retained,Active,Medium Risk
46,46-55,Male,self_employed,1633.2,166.36000000000013,5.41,1,0,Retained,Active,Low Risk
31,26-35,Female,self_employed,11651.82,0.0,5.74,1,1,Churned,Active,Low Risk
63,56-65,Male,self_employed,14901.34,13818.46,5.66,1,0,Retained,Active,Low Risk
26,26-35,Male,salaried,2354.29,-1143.1,6.48,1,0,Retained,Active,Medium Risk
43,36-45,Male,self_employed,29599.74,26675.7,4.67,1,0,Retained,Active,Low Risk
35,26-35,Male,salaried,1799.94,-277.84000000000015,6.34,1,0,Retained,Active,Medium Risk
75,65+,Male,retired,10309.02,0.0,5.6,1,0,Retained,Active,Low Risk
39,36-45,Female,salaried,4970.13,1328.5100000000002,6.41,1,0,Retained,Active,Low Risk
31,26-35,Male,salaried,5654.08,-72.81999999999971,4.04,0,0,Retained,Inactive,High Risk
64,56-65,Female,self_employed,7154.35,1576.6800000000003,5.74,1,0,Retained,Active,Low Risk
29,26-35,Female,self_employed,2842.3,-3718.28,5.46,1,1,Churned,Active,Medium Risk
48,46-55,Female,self_employed,1404.0,138.70000000000005,5.43,1,0,Retained,Active,Low Risk
49,46-55,Male,self_employed,1898.54,-48.26999999999998,5.44,1,0,Retained,Active,Medium Risk
55,46-55,Female,self_employed,43211.61,0.0,6.31,1,0,Retained,Active,Low Risk
37,36-45,Male,self_employed,1739.81,0.0,6.56,1,0,Retained,Active,Low Risk
44,36-45,Female,self_employed,2462.65,750.8500000000001,5.1,1,0,Retained,Active,Low Risk
36,36-45,Female,self_employed,2630.36,-1286.8399999999997,5.23,1,0,Retained,Active,Medium Risk
28,26-35,Female,self_employed,10725.2,-10315.94,6.66,1,0,Retained,Active,Medium Risk
49,46-55,Female,salaried,665.33,-2017.85,4.89,1,0,Retained,Active,Medium Risk
45,36-45,Male,self_employed,4617.63,-7277.079999999999,5.92,1,0,Retained,Active,Medium Risk
43,36-45,Female,self_employed,4481.2,421.65999999999985,6.31,1,0,Retained,Active,Low Risk
30,26-35,Female,self_employed,2683.0,-283.5999999999999,6.0,0,0,Retained,Inactive,High Risk
90,65+,Male,self_employed,1841.96,0.0,5.78,0,0,Retained,Inactive,Medium Risk
36,36-45,Female,self_employed,2947.01,150.19000000000003,6.18,1,0,Retained,Active,Low Risk
67,65+,Male,self_employed,1433.48,-6055.0599999999995,6.55,1,1,Churned,Active,Medium Risk
65,56-65,Male,self_employed,5823.36,0.0,6.59,1,0,Retained,Active,Low Risk
90,65+,Male,self_employed,4178.06,223.6600000000003,5.27,1,0,Retained,Active,Low Risk
90,65+,Male,self_employed,138.71,-3556.66,5.38,1,1,Churned,Active,Medium Risk
42,36-45,Male,salaried,2191.51,-41.53999999999997,5.42,1,0,Retained,Active,Medium Risk
38,36-45,Female,self_employed,1756.94,677.8700000000001,5.34,1,0,Retained,Active,Low Risk
75,65+,Female,self_employed,1433.21,-10815.669999999998,6.38,1,1,Churned,Active,Medium Risk
32,26-35,Male,salaried,2076.81,-464.7600000000002,4.7,1,0,Retained,Active,Medium Risk
61,56-65,Male,self_employed,3731.2,-48.39000000000033,6.27,1,0,Retained,Active,Medium Risk
55,46-55,Male,salaried,7110.16,-1906.3600000000008,5.88,1,0,Retained,Active,Medium Risk
64,56-65,Male,retired,2479.97,4.899999999999636,6.38,1,1,Churned,Active,Low Risk
52,46-55,Female,self_employed,1464.17,-833.7599999999998,6.16,1,0,Retained,Active,Medium Risk
41,36-45,Male,self_employed,3975.23,-699.5300000000002,6.1,1,0,Retained,Active,Medium Risk
28,26-35,Female,salaried,278.57,-1519.25,5.59,1,1,Churned,Active,Medium Risk
3,<=25,Female,student,4163.26,0.0,4.5,1,0,Retained,Active,Low Risk
69,65+,Female,self_employed,13701.91,-495.2299999999995,6.14,0,0,Retained,Inactive,High Risk
35,26-35,Female,self_employed,1983.16,-154.58999999999992,6.05,1,0,Retained,Active,Medium Risk
49,46-55,Female,self_employed,16120.07,-1794.170000000002,6.16,1,0,Retained,Active,Medium Risk
28,26-35,Male,salaried,5243.46,2411.39,6.69,1,1,Churned,Active,Low Risk
55,46-55,Female,salaried,1738.95,0.0,4.86,0,0,Retained,Inactive,Medium Risk
42,36-45,Female,self_employed,6689.29,-562.2200000000003,6.3,1,0,Retained,Active,Medium Risk
45,36-45,Male,self_employed,5315.57,3166.3799999999997,5.7,1,0,Retained,Active,Low Risk
45,36-45,Male,salaried,2764.84,352.5300000000002,3.75,1,0,Retained,Active,Low Risk
39,36-45,Male,self_employed,2205.39,557.6199999999999,6.48,1,0,Retained,Active,Low Risk
38,36-45,Female,self_employed,1595.33,-279.10000000000014,6.63,1,0,Retained,Active,Medium Risk
69,65+,Female,self_employed,7579.44,-4654.38,5.43,1,0,Retained,Active,Medium Risk
30,26-35,Female,self_employed,3843.06,0.0,6.43,1,1,Churned,Active,Low Risk
59,56-65,Male,salaried,5532.14,0.0,3.1,1,0,Retained,Active,Low Risk
21,<=25,Female,student,2818.51,1243.4900000000002,6.01,1,0,Retained,Active,Low Risk
28,26-35,Male,student,900.93,-2504.0,4.94,1,1,Churned,Active,Medium Risk
60,56-65,Female,salaried,3486.24,-330.0100000000002,5.8,1,0,Retained,Active,Medium Risk
43,36-45,Male,salaried,1053.65,-694.4599999999998,5.87,1,1,Churned,Active,Medium Risk
42,36-45,Male,salaried,2399.45,0.0,5.41,0,0,Retained,Inactive,Medium Risk
31,26-35,Female,student,6251.19,0.0,6.26,0,0,Retained,Inactive,Medium Risk
56,56-65,Male,self_employed,4142.83,-285.71000000000004,5.02,1,0,Retained,Active,Medium Risk
33,26-35,Female,self_employed,1700.94,167.35000000000014,5.57,1,0,Retained,Active,Low Risk
66,65+,Female,self_employed,3102.16,0.0,6.67,1,0,Retained,Active,Low Risk
70,65+,Male,retired,18187.37,4058.629999999999,5.97,1,0,Retained,Active,Low Risk
44,36-45,Male,salaried,2163.68,0.0,5.24,1,1,Churned,Active,Low Risk
42,36-45,Male,self_employed,390.24,-12019.67,6.59,1,1,Churned,Active,Medium Risk
23,<=25,Male,student,6011.64,0.0,6.27,0,0,Retained,Inactive,Medium Risk
45,36-45,Male,salaried,2471.72,0.0,5.59,1,0,Retained,Active,Low Risk
70,65+,Male,retired,9056.51,-1346.6299999999992,5.59,1,0,Retained,Active,Medium Risk
67,65+,Male,retired,3896.99,1199.29,6.43,1,0,Retained,Active,Low Risk
33,26-35,Female,self_employed,3221.37,450.02999999999975,5.94,1,0,Retained,Active,Low Risk
40,36-45,Male,self_employed,261.77,-9157.68,5.92,1,1,Churned,Active,Medium Risk
36,36-45,Male,self_employed,10404.34,-19069.86,6.45,1,0,Retained,Active,Medium Risk
58,56-65,Female,self_employed,2288.18,-3.2800000000002,5.93,1,0,Retained,Active,Medium Risk
90,65+,Male,self_employed,12827.71,12646.87,5.42,1,0,Retained,Active,Low Risk
77,65+,Male,retired,8263.48,-690.0,5.53,1,0,Retained,Active,Medium Risk
42,36-45,Male,self_employed,2695.29,-443.4499999999998,5.24,1,1,Churned,Active,Medium Risk
59,56-65,Male,salaried,563.65,-6433.21,6.13,1,0,Retained,Active,Medium Risk
37,36-45,Male,salaried,3182.99,1573.1799999999998,4.54,1,0,Retained,Active,Low Risk
29,26-35,Male,self_employed,1773.22,-358.9799999999998,5.92,1,0,Retained,Active,Medium Risk
49,46-55,Male,self_employed,5873.4,0.0,6.55,1,0,Retained,Active,Low Risk
45,36-45,Female,self_employed,2766.59,-341.52999999999975,6.4,1,0,Retained,Active,Medium Risk
64,56-65,Male,retired,5003.27,1616.6400000000003,5.1,1,0,Retained,Active,Low Risk
49,46-55,Male,salaried,18610.35,-1457.1900000000023,6.19,1,0,Retained,Active,Medium Risk
47,46-55,Male,self_employed,5382.59,12.069999999999707,5.5,1,0,Retained,Active,Low Risk
81,65+,Male,retired,244686.74,174883.5,5.08,1,0,Retained,Active,Low Risk
18,<=25,Female,student,5954.78,4320.65,6.43,1,0,Retained,Active,Low Risk
60,56-65,Female,retired,3840.8,-589.8599999999997,6.5,1,0,Retained,Active,Medium Risk
39,36-45,Male,self_employed,1933.12,-948.4300000000004,4.85,1,1,Churned,Active,Medium Risk
52,46-55,Female,salaried,3335.44,-35882.86,6.14,1,1,Churned,Active,Medium Risk
64,56-65,Female,self_employed,27118.65,22402.84,5.52,1,0,Retained,Active,Low Risk
41,36-45,Female,self_employed,1691.27,-91.24,6.32,1,0,Retained,Active,Medium Risk
50,46-55,Male,self_employed,1503.34,0.0,5.71,1,0,Retained,Active,Low Risk
38,36-45,Male,self_employed,1689.22,161.43000000000006,5.65,0,0,Retained,Inactive,Medium Risk
53,46-55,Female,self_employed,7811.02,4062.130000000001,5.79,1,1,Churned,Active,Low Risk
54,46-55,Female,self_employed,5664.38,-1753.4499999999998,6.24,1,1,Churned,Active,Medium Risk
77,65+,Female,self_employed,1828.39,0.0,5.53,1,0,Retained,Active,Low Risk
63,56-65,Male,self_employed,2684.38,-78.32999999999993,6.39,1,0,Retained,Active,Medium Risk
63,56-65,Male,retired,1964.42,-2930.7799999999997,6.55,1,1,Churned,Active,Medium Risk
15,<=25,Male,student,3313.3,0.0,6.53,0,0,Retained,Inactive,Medium Risk
28,26-35,Female,self_employed,430.31,-2688.3,5.35,1,1,Churned,Active,Medium Risk
60,56-65,Male,salaried,2085.46,809.1000000000001,5.38,1,0,Retained,Active,Low Risk
39,36-45,Female,self_employed,4093.32,-3765.56,6.42,1,1,Churned,Active,Medium Risk
61,56-65,Male,salaried,7506.81,-71.17999999999938,5.72,1,0,Retained,Active,Medium Risk
90,65+,Male,retired,21608.91,13126.47,5.96,1,0,Retained,Active,Low Risk
53,46-55,Male,self_employed,2918.97,0.0,6.26,1,0,Retained,Active,Low Risk
31,26-35,Male,self_employed,1031.8,-3095.76,6.27,1,0,Retained,Active,Medium Risk
32,26-35,Male,salaried,1069.08,-1031.9900000000002,6.56,1,1,Churned,Active,Medium Risk
24,<=25,Male,self_employed,144.75,-4928.57,5.33,1,1,Churned,Active,Medium Risk
23,<=25,Male,salaried,4287.7,1598.1,5.76,1,0,Retained,Active,Low Risk
32,26-35,Male,salaried,10678.88,9453.84,5.87,1,0,Retained,Active,Low Risk
55,46-55,Male,self_employed,1565.69,-162.76999999999998,6.64,1,0,Retained,Active,Medium Risk
60,56-65,Male,salaried,9178.6,-17.889999999999418,5.12,1,0,Retained,Active,Medium Risk
49,46-55,Male,salaried,1216.68,-30.210000000000036,6.35,1,1,Churned,Active,Medium Risk
37,36-45,Female,self_employed,3431.4,-10.989999999999782,6.01,1,0,Retained,Active,Medium Risk
44,36-45,Male,self_employed,3649.25,2886.05,4.99,1,0,Retained,Active,Low Risk
69,65+,Female,self_employed,1361.62,-2229.01,5.76,1,0,Retained,Active,Medium Risk
33,26-35,Female,self_employed,31851.55,-3164.9699999999975,6.38,1,0,Retained,Active,Medium Risk
36,36-45,Male,salaried,12600.99,8752.689999999999,5.93,1,0,Retained,Active,Low Risk
29,26-35,Male,student,6504.13,-282.40999999999985,4.35,1,0,Retained,Active,Medium Risk
44,36-45,Male,self_employed,5342.3,-1159.3599999999997,6.58,1,0,Retained,Active,Medium Risk
54,46-55,Female,self_employed,1490.51,-1982.98,6.3,1,0,Retained,Active,Medium Risk
33,26-35,Female,salaried,49.98,-10178.82,5.31,1,0,Retained,Active,Medium Risk
62,56-65,Male,self_employed,10530.02,-726.369999999999,4.21,1,1,Churned,Active,Medium Risk
47,46-55,Male,self_employed,20638.15,8275.28,5.71,1,0,Retained,Active,Low Risk
60,56-65,Male,self_employed,2393.6,-50.23000000000002,5.85,1,0,Retained,Active,Medium Risk
42,36-45,Female,self_employed,1445.26,0.0,6.12,1,0,Retained,Active,Low Risk
53,46-55,Female,self_employed,2047.77,-2632.93,6.57,1,1,Churned,Active,Medium Risk
46,46-55,Female,salaried,821.18,-460.66,5.65,1,0,Retained,Active,Medium Risk
31,26-35,Male,self_employed,935.82,-1741.27,5.77,1,1,Churned,Active,Medium Risk
75,65+,Male,retired,4151.56,570.9200000000005,6.26,1,0,Retained,Active,Low Risk
56,56-65,Male,self_employed,2653.58,-77.98000000000002,5.34,1,1,Churned,Active,Medium Risk
6,<=25,Female,student,3127.64,71.42999999999984,4.02,0,1,Churned,Inactive,Medium Risk
24,<=25,Male,salaried,5834.67,-35.710000000000036,4.96,1,0,Retained,Active,Medium Risk
66,65+,Male,self_employed,17736.13,0.0,6.12,1,0,Retained,Active,Low Risk
